fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;target
8.5;0.26;0.21;16.2;0.074;41.0;197.0;0.998;3.02;0.5;9.8;3
5.8;0.24;0.44;3.5;0.029;5.0;109.0;0.9913;3.53;0.43;11.7;3
9.1;0.59;0.38;1.6;0.066;34.0;182.0;0.9968;3.23;0.38;8.5;3
7.1;0.32;0.32;11.0;0.038;16.0;66.0;0.9937;3.24;0.4;11.5;3
6.9;0.39;0.4;4.6;0.022;5.0;19.0;0.9915;3.31;0.37;12.6;3
10.3;0.17;0.47;1.4;0.037;5.0;33.0;0.9939;2.89;0.28;9.6;3
7.9;0.64;0.46;10.6;0.244;33.0;227.0;0.9983;2.87;0.74;9.1;3
8.3;0.33;0.42;1.15;0.033;18.0;96.0;0.9911;3.2;0.32;12.4;3
8.6;0.55;0.35;15.55;0.057;35.5;366.5;1.0001;3.04;0.63;11.0;3
7.5;0.32;0.24;4.6;0.053;8.0;134.0;0.9958;3.14;0.5;9.1;3
6.7;0.25;0.26;1.55;0.041;118.5;216.0;0.9949;3.55;0.63;9.4;3
7.1;0.49;0.22;2.0;0.047;146.5;307.5;0.9924;3.24;0.37;11.0;3
11.8;0.23;0.38;11.1;0.034;15.0;123.0;0.9997;2.93;0.55;9.7;3
7.6;0.48;0.37;1.2;0.034;5.0;57.0;0.99256;3.05;0.54;10.4;3
6.1;0.2;0.34;9.5;0.041;38.0;201.0;0.995;3.14;0.44;10.1;3
4.2;0.215;0.23;5.1;0.041;64.0;157.0;0.99688;3.42;0.44;8.0;3
9.4;0.24;0.29;8.5;0.037;124.0;208.0;0.99395;2.9;0.38;11.0;3
6.2;0.23;0.35;0.7;0.051;24.0;111.0;0.9916;3.37;0.43;11.0;3
6.8;0.26;0.34;15.1;0.06;42.0;162.0;0.99705;3.24;0.52;10.5;3
6.1;0.26;0.25;2.9;0.047;289.0;440.0;0.99314;3.44;0.64;10.5;3
5.595431118202919;0.32179319782165194;0.2727172791286608;4.103263486997915;0.048119546521443464;55.45654417426785;164.11954652144345;0.9968572174511314;3.3658914464370295;0.4229130883485357;8.142390930428869;3
6.316929463775061;0.20542323659437656;0.32824965404551754;10.105594753038712;0.043982780126907095;38.27116182971883;200.63845089370824;0.9952711618297189;3.129153526811247;0.44542323659437655;10.072883817028117;3
